date,checks,violations,fines_euro,business_closed,by_police,by_others,calls_1520,v_masks,v_distancing,v_quarantine,v_other,pe01,pe02,pe03,pe04,pe05,pe06,pe07,pe08,pe09,pe10,pe11,pe12,pe13
2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,181138,2975,779650,29,161352,19786,26650,,,,,,,,,,,,,,,,,
2020-11-09,57722,1776,242000,1,53754,3968,11662,,,,,,,,,,,,,,,,,
2020-11-10,62934,1731,262250,1,62245,689,7438,47.5,1.8,50.6,0.1,3412,9013,3485,2910,2742,780,1653,1939,29483,1476,4612,754,675
2020-11-11,64462,2062,264450,0,63559,903,6816,39.6,2.3,57.3,0.8,3646,8796,3573,2908,2918,836,1564,2270,31251,1196,3764,853,948
2020-11-12,68711,2116,248850,3,67685,1026,7989,38.6,1.1,59.7,1.2,4102,10042,3531,2964,2584,797,1682,1999,32612,1222,4928,691,1557
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,232048,6354,565350,2,229033,3015,18247,27.8,0.9,70.6,0.7,4094,26284,2868,10109,2108,2222,9836,5137,133512,11238,5507,9348,9785
2020-11-16,77767,1763,162550,1,66584,11183,5319,30.3,0.5,70.5,0.1,3195,7989,3474,2558,3094,841,1753,1752,47469,940,2505,756,1621
2020-11-17,50582,1616,162550,5,46392,4190,4136,28.1,1.7,70.1,0.1,3356,4521,3137,2072,2129,729,649,1716,24917,3629,983,807,1937
2020-11-18,57986,1357,134900,1,50607,7379,3870,29,0.7,68.9,1.4,2757,7997,3199,2475,2617,922,976,1510,29391,2846,950,691,1655
2020-11-19,63540,1418,141400,4,61036,2504,3230,30.5,1.1,67.2,1.2,3517,7894,3390,2512,2874,878,1105,1802,33634,2378,985,822,1449
2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,188642,5121,1546677,8,174425,14217,3230,28,0.8,69.6,1.5,3155,8123,3315,2135,2957,841,1302,1956,36527,2831,930,1079,2032
2020-11-23,67183,1927,577400,0,65203,1980,3230,28,0.8,69.6,1.5,3155,8123,3315,2135,2957,841,1302,1956,36527,2831,930,1079,2032
2020-11-24,56813,1335,383000,1,54776,2037,3230,,,,,,,,,,,,,,,,,
2020-11-25,56468,1129,334050,2,54580,1888,3720,39.7,0.4,58,1.9,2961,8554,2740,2343,3121,816,929,1849,27302,888,2410,927,1628
2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,189710,4963,1129850,13,160282,29428,6645,22.2,1.8,72.6,3.4,11744,22261,10041,9957,10830,2032,5510,4997,85208,10173,4685,6669,8722
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,55513,1783,561750,4,53458,2055,3416,23.3,2.1,73.6,1,3259,8085,2940,2195,3114,996,1894,2195,24882,273,2926,1004,1750
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,70002,1836,558600,2,59208,10794,3310,26.3,2,70.6,1.2,4250,10286,3243,2999,3629,898,2892,2803,29799,318,4271,1920,2694
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,158343,4834,1476900,6,146619,11724,6628,22.6,1.6,73.7,2,8304,22899,9220,5783,9317,1796,5342,5763,71978,1669,7219,3331,5902
2020-12-07,47930,1346,426800,5,46289,1641,3758,26.4,0.4,72.6,0.5,2048,6185,3251,1447,2640,691,1525,2035,22345,957,2256,879,1671
2020-12-08,62085,1813,572850,5,51042,11043,3353,21.1,1.7,76.8,0.4,4232,7750,4071,3204,4052,746,2113,2454,24829,1078,3129,1704,2723
2020-12-09,47751,1384,445900,5,45970,1781,2387,27.5,1.2,71,0.4,1921,6879,3014,1286,2331,731,1753,1813,21749,939,2397,950,1988
